arquivo;data;tempo;acuracia;vp;vn;fp;fn
AjusteFinoMoodle_AvaliacaoCSTNews_v1_C_SB_E_4_lr_2_b_4_8_BERTimbau_base;03/10/2021 11:10;1:37:33;0.6923694779116466;2380;4516;464;2600
AjusteFinoMoodle_AvaliacaoCSTNews_v1_C_SB_E_4_lr_2_b_4_8_BERTimbau_base;04/10/2021 09:47;1:36:44;0.6852409638554217;2300;4525;455;2680
AjusteFinoMoodle_AvaliacaoCSTNews_v1_C_SB_E_4_lr_2_b_4_8_BERTimbau_base;05/10/2021 13:50;1:33:17;0.648293172690763;1760;4697;283;3220
AjusteFinoMoodle_AvaliacaoCSTNews_v1_C_SB_E_4_lr_2_b_4_8_BERTimbau_base;06/10/2021 12:33;1:32:58;0.6922690763052208;2340;4555;425;2640
AjusteFinoMoodle_AvaliacaoCSTNews_v1_C_SB_E_4_lr_2_b_4_8_BERTimbau_base;08/10/2021 15:08;1:36:22;0.6570281124497992;1880;4664;316;3100
